time,X,Y,Z,ROLL,PITCH,YAW
1.948,0.06176758,-0.5505371,-0.04125977,0.7196947,-0.4522137,1.93542
1.971,0.02026367,-0.4255371,0.03808594,0.6529771,-0.3633588,1.97855
1.993,-0.01489258,-0.2653809,0.08886719,0.5428245,-0.2654198,1.971756
2.016,-0.126709,-0.08862305,0.1901855,0.5520611,-0.1691603,1.854656
2.037,-0.2145996,-0.05712891,0.2387695,0.6229771,-0.0009160305,1.696336
2.059,-0.2590332,-0.1135254,0.1743164,0.5620611,0.1496947,1.640611
2.08,-0.2907715,-0.07836914,0.1518555,0.5936641,0.2103817,1.660534
2.101,-0.2556152,0.08081055,0.1088867,0.7705343,0.2542748,1.633969
2.123,-0.2529297,0.2612305,0.09716797,0.8265649,0.3019084,1.50458
2.144,-0.3886719,0.3481445,0.1833496,0.7530534,0.4003817,1.381985
2.165,-0.4199219,0.3615723,0.1928711,0.7528244,0.5677863,1.282366
2.187,-0.3222656,0.324707,0.1655273,0.7167175,0.7464886,1.202595
2.208,-0.2995605,0.3286133,0.1291504,0.760458,0.9114504,1.178702
2.229,-0.4050293,0.5546875,0.0769043,0.7342748,1.113588,1.154428
2.252,-0.2744141,0.703125,-0.1408691,0.6075572,1.282061,1.050076
2.273,-0.248291,0.748291,-0.2631836,0.5325954,1.359313,0.9107634
2.295,-0.3237305,1.003418,-0.4174805,0.5762596,1.361985,0.7058015
2.316,-0.3261719,1.193115,-0.5036621,0.5549619,1.306947,0.3616794
2.337,-0.2607422,1.07666,-0.4306641,0.3869466,1.34542,-0.004198473
2.359,-0.3508301,0.923584,-0.3632813,0.3776336,1.502672,-0.268626
2.38,-0.5317383,0.7241211,-0.449707,0.3343512,1.748015,-0.4025954
2.401,-0.4284668,0.6252441,-0.8444824,0.2638931,1.863588,-0.3526717
2.423,-0.3886719,0.7304688,-1.139648,0.1746565,1.787634,-0.2922137
2.444,-0.4335938,1.214111,-1.220703,-0.02916031,1.676031,-0.5354198
2.466,-0.4274902,1.209229,-1.286133,0.06351146,1.538702,-1.12374
2.487,-0.3586426,0.6572266,-1.393555,0.1884733,1.319771,-1.438702
2.508,-0.4348145,0.4677734,-1.298828,0.01969466,1.198702,-1.402214
2.53,-0.4863281,0.579834,-1.256104,-0.3034351,1.332748,-1.469924
2.551,-0.4650879,0.4052734,-1.55835,-0.3772519,1.337023,-1.646641
2.572,-0.4394531,0.1516113,-1.820801,-0.2694657,1.037023,-1.662748
