X,Y,Z,ROLL,PITCH,YAW
-0.327,0.016,0.828,-0.06389,0.07748,-0.08824
-0.521,0.014,0.883,-0.07832,0.05732,-0.04633
-0.62,-0.016,0.959,-0.10221,-0.00519,0.0029
-0.466,-0.027,1.001,-0.0887,0.02114,0.01381
-0.442,-0.051,1.028,-0.03251,0.08526,0.04412
-0.453,-0.042,0.964,-0.01312,0.07282,0.06374
-0.402,-0.059,0.898,-0.06549,0.05717,0.0429
-0.341,-0.09,0.911,-0.11946,0.04229,0.00396
-0.361,-0.097,0.911,-0.12022,0.03679,-0.00343
-0.324,-0.064,0.799,-0.12824,0.10938,0.02068
-0.262,-0.067,0.708,-0.13251,0.2629,0.02541
-0.434,0.007,0.706,-0.29832,0.17122,0.01297
-0.446,-0.143,0.987,0.32224,0.14236,0.03106
-0.473,-0.125,0.97,-0.2774,0.20305,0.06435
-0.495,-0.095,0.96,-0.24977,0.21671,0.07
-0.426,-0.139,0.888,-0.27793,0.14076,0.05427
-0.224,-0.145,0.809,0.32155,0.06381,0.00045
-0.168,-0.104,0.72,0.18208,-0.00343,-0.07427
-0.166,-0.081,0.741,0.0762,-0.07893,-0.15343
-0.245,-0.113,0.852,0.08048,-0.11587,-0.21068
-0.304,-0.135,0.96,0.19315,-0.01267,-0.20824
-0.459,-0.118,0.949,-0.31938,0.04786,-0.17893
-0.549,-0.099,0.987,-0.21824,0.05213,-0.1187
-0.559,-0.111,0.951,-0.19183,0.0277,-0.07938
-0.483,-0.11,0.91,-0.2045,-0.01328,-0.06587
-0.485,-0.106,0.828,-0.25786,-0.08671,-0.0758
-0.407,-0.114,0.782,0.30628,-0.16625,-0.12564
-0.366,-0.099,0.738,0.2404,-0.21404,-0.15007
-0.313,-0.112,0.72,0.21704,-0.19923,-0.14328
-0.306,-0.104,0.744,0.20536,-0.19519,-0.12977
-0.272,-0.09,0.758,0.18468,-0.14244,-0.12343
-0.294,-0.125,0.833,0.11262,-0.15847,-0.13335
-0.321,-0.185,0.892,0.10422,-0.14167,-0.14229
-0.418,-0.224,0.981,0.14682,-0.1519,-0.14221
-0.375,-0.301,1.011,0.24277,-0.15656,-0.16603
-0.399,-0.342,1.014,-0.31458,-0.159,-0.21129
-0.364,-0.38,1.041,-0.25251,-0.21893,-0.2829
-0.565,-0.355,1.154,-0.16206,0.31865,0.31246
-0.525,-0.385,1.158,-0.10938,0.15376,0.27964
-0.471,-0.349,1.068,-0.08343,0.06346,0.22544
-1.507,-0.138,0.416,0.04727,0.02297,-0.12015
-1.396,-0.029,0.322,0.32248,-0.27847,-0.12015
-1.25,-0.024,0.287,-0.03676,0.03766,-0.12015
-1.14,-0.061,0.287,-0.31515,-0.22456,-0.12015
-1.125,-0.118,0.278,0.12502,0.18821,-0.12015
-1.083,-0.237,0.311,-0.02979,0.08668,-0.12015
-0.928,-0.377,0.367,-0.16384,0.09576,-0.12015
-0.606,-0.502,0.383,-0.30903,0.27004,-0.12015
-0.477,-0.653,0.536,0.20709,-0.19334,-0.12015
-0.484,-0.82,0.768,0.14954,-0.06662,-0.12015
-0.338,-1.079,0.935,0.20717,0.10995,-0.12015
0.0,-1.409,1.034,-0.26399,-0.20992,-0.12015
0.291,-1.655,1.098,-0.02117,0.20099,-0.12015
0.475,-1.675,1.349,0.21998,0.30106,-0.12015
0.666,-1.631,1.43,-0.20897,0.17931,-0.12015
0.813,-1.576,1.534,-0.00263,-0.03267,-0.12015
0.918,-1.534,1.666,0.21576,-0.14198,-0.12015
1.184,-1.549,1.819,-0.11326,-0.11427,-0.12015
1.546,-1.6,1.948,0.27582,-0.16374,-0.12015
1.953,-1.624,1.999,0.08732,-0.17946,-0.32717
1.999,-1.544,1.999,-0.09361,0.02381,-0.24021
1.999,-1.397,1.931,-0.27011,0.24427,-0.15653
1.999,-1.248,1.624,0.19302,-0.15933,-0.0662
1.999,-1.058,1.319,-0.14807,0.2425,0.03465
1.999,-0.925,1.067,0.09269,-0.0608,0.14453
1.801,-0.828,0.826,0.20376,0.20691,0.25813
1.471,-0.761,0.652,0.29086,0.30958,-0.18844
1.165,-0.73,0.477,0.31796,0.31523,0.07578
0.952,-0.714,0.325,-0.31671,0.32019,-0.23582
0.815,-0.669,0.097,0.31743,-0.28196,0.16129
0.693,-0.714,0.001,0.31178,-0.23685,0.12007
0.376,-0.763,-0.164,0.31422,-0.29616,0.12007
0.167,-0.759,-0.358,0.24582,-0.23189,0.12007
-0.312,-0.698,-0.424,0.20239,-0.09563,0.12007
-0.707,-0.587,-0.583,0.16185,-0.00372,0.12007
-1.126,-0.349,-0.71,0.08376,0.02002,0.12007
-1.452,-0.09,-0.982,-0.06723,0.06109,0.1629
-1.578,0.156,-1.019,-0.24288,0.11376,-0.15788
-1.725,0.361,-0.965,0.25309,0.16422,0.20776
-1.872,0.491,-0.946,0.12882,-0.29129,0.01645
-1.685,0.56,-0.967,0.03576,-0.12015,-0.14303
-1.667,0.624,-1.044,-0.11546,-0.12015,0.19063
-1.578,0.602,-1.319,0.16822,-0.12015,0.32399
-1.492,0.723,-1.305,-0.30231,-0.12015,0.24246
-1.635,0.918,-1.088,-0.00412,0.30628,0.04414
-1.746,0.916,-0.811,-0.08198,-0.1415,-0.21028
-1.703,0.888,-0.665,-0.03053,-0.19401,0.09843
-1.598,0.893,-0.693,0.00442,0.32,-0.31966
-1.74,0.953,-0.861,-0.13381,0.21872,0.01845
-2.0,1.081,-1.108,0.23391,-0.29235,-0.11895
-2.0,1.201,-1.145,-0.05212,0.11347,-0.03811
-2.0,1.252,-1.113,-0.2986,0.00966,0.17189
-2.0,1.252,-1.035,0.1276,0.04439,-0.10355
-2.0,1.177,-0.932,-0.06027,0.20034,0.28874
-2.0,1.081,-0.79,-0.26981,-0.21517,0.02346
-2.0,0.976,-0.603,0.24723,0.0546,-0.29106
-2.0,0.954,-0.498,0.10059,0.26552,0.06412
-2.0,0.98,-0.471,-0.15766,-0.23709,-0.21735
-2.0,0.776,-0.431,0.22473,-0.13587,-0.03033
-2.0,0.543,-0.39,0.12007,-0.01442,0.01044
-2.0,0.488,-0.291,0.12007,0.08587,0.04456
-2.0,0.403,-0.167,0.12007,0.09137,0.13318
-1.955,0.259,-0.023,0.12007,0.01473,0.26967
-1.926,0.076,0.123,0.12007,-0.08839,-0.15782
-2.0,-0.155,0.328,0.12007,-0.25335,0.27324
-1.988,-0.336,0.569,0.12007,0.30475,0.13857
-1.861,-0.38,0.594,0.12007,-0.29389,-0.12015
-1.758,-0.406,0.601,0.12007,-0.25923,-0.12015
-1.639,-0.536,0.678,0.12007,-0.22022,-0.12015
-1.552,-0.648,0.758,0.12007,-0.14198,-0.12015
-1.487,-0.742,0.861,0.12007,-0.09259,-0.12015
-1.38,-0.832,0.917,0.12679,-0.09763,-0.12015
-1.295,-0.947,0.964,0.14709,-0.14419,-0.12015
-1.146,-1.246,1.028,0.26465,-0.07366,-0.12015
-0.806,-1.656,1.237,-0.1359,0.12534,-0.12015
-0.528,-1.813,1.487,0.19647,0.28656,-0.12015
-0.381,-1.646,1.629,-0.15111,-0.29559,-0.26671
-0.328,-1.391,1.755,0.21218,0.23526,0.1159
-0.34,-1.189,1.842,-0.0467,-0.02343,0.05239
-0.297,-1.105,1.918,-0.21396,0.29521,0.1033
-0.089,-1.108,1.729,-0.19582,0.01727,0.02788
0.149,-1.09,1.519,0.16112,0.01468,-0.26204
0.308,-1.053,1.462,-0.15363,0.02086,0.02515
0.449,-1.021,1.443,0.31676,0.00865,0.23586
0.622,-1.005,1.215,0.10353,-0.08883,-0.20804
0.767,-0.908,0.78,0.30353,0.02766,0.03343
0.678,-0.718,0.413,-0.31519,-0.32,0.32575
0.737,-0.611,0.257,0.2633,0.11465,0.0775
0.961,-0.558,0.245,0.28934,-0.11498,-0.16654
1.061,-0.469,0.217,-0.20999,0.16807,0.23889
1.014,-0.324,0.056,-0.12015,-0.09126,-0.00989
0.951,-0.134,-0.106,-0.12015,0.25744,-0.18401
0.796,0.074,-0.359,-0.12015,-0.08448,-0.2679
0.73,0.209,-0.513,-0.22564,0.17842,-0.30836
0.672,0.277,-0.758,0.2072,-0.24885,0.2915
0.711,0.272,-1.014,0.06208,-0.12015,0.11173
0.666,0.374,-1.362,-0.13937,-0.12015,-0.15399
0.718,0.481,-1.729,0.14195,-0.1216,0.12007
0.238,0.775,-1.863,-0.28775,-0.28999,0.12007
-0.254,1.015,-1.858,0.00448,0.31979,0.12007
-0.62,1.192,-1.676,-0.21536,-0.31938,0.15778
-0.787,1.086,-1.501,-0.21285,0.21582,0.29076
-0.842,0.857,-1.313,-0.06369,0.08704,0.31992
-0.98,0.913,-1.361,0.05227,0.01827,0.3245
-1.236,1.12,-1.615,-0.12483,-0.08234,-0.27147
-1.392,1.184,-1.708,0.21664,-0.1857,-0.20972
-1.491,1.094,-1.565,-0.10702,-0.30921,-0.14407
-1.565,0.958,-1.51,0.23842,0.30714,-0.05414
